Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2408.02,0.313788
instance10.txt,6,2342.26,0.297188
instance11.txt,5,2263.89,0.306193
instance12.txt,6,2446.72,0.296178
instance13.txt,6,2443.28,0.29676
instance14.txt,6,2313.79,0.29677
instance15.txt,6,2390.97,0.325538
instance16.txt,6,2368.31,0.299581
instance17.txt,6,2502.95,0.307414
instance18.txt,7,2594.06,0.314338
instance19.txt,6,2378.24,0.314232
instance1.txt,6,2420.01,0.304061
instance20.txt,6,2586.32,0.310405
instance2.txt,6,2453.8,0.300965
instance3.txt,6,2476.25,0.329406
instance4.txt,6,2440.16,0.295732
instance5.txt,6,2369.31,0.320213
instance6.txt,6,2438.59,0.309077
instance7.txt,6,2308.04,0.299602
instance8.txt,6,2295.41,0.376564
instance9.txt,6,2490.06,0.301339
